ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
114,variable,11,,11,1,0,visible,OPEN CURB 1.4mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/11.jpg,,,,,,,,,0,,thelength,"16, 18, 20",1,0
115,variable,12,,12,1,0,visible,OPEN CURB 1.7mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/12.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20, 22",1,0
116,variable,13,,13,1,0,visible,OPEN CURB 2.1mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/13.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20, 22, 24",1,0
117,variable,14,,14,1,0,visible,OMEGA 1.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/14.jpg,,,,,,,,,0,,thelength,"16, 18",1,0
118,variable,15,,15,1,0,visible,OPEN CURB 3.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/15.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
119,variable,16,,16,1,0,visible,OPEN CURB 4.2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/16.jpg,,,,,,,,,0,,thelength,"7.25, 18, 20, 22",1,0
120,variable,17,,17,1,0,visible,OPEN CURB 5.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/17.jpg,,,,,,,,,0,,thelength,"7.25, 18, 20, 22",1,0
121,variable,18,,18,1,0,visible,CURB OPEN 7.1MM,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/18.jpg,,,,,,,,,0,,thelength,"18, 20, 22",1,0
122,variable,19,,19,1,0,visible,BOX EXTRA LIGHT 1MM,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/19.jpg,,,,,,,,,0,,thelength,"16, 18, 20",1,0
123,variable,20,,20,1,0,visible,BOX 3 BALL 1.6mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/20.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20",1,0
124,variable,21,,21,1,0,visible,BOX 1.2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/21.jpg,,,,,,,,,0,,thelength,"7, 14, 15, 16, 18, 20, 22, 24, 30",1,0
125,variable,22,,22,1,0,visible,BOX 1.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/22.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20, 22, 24, 26, 28, 30",1,0
126,variable,23,,23,1,0,visible,BOX 1.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/23.jpg,,,,,,,,,0,,thelength,"7.25, 14, 16, 18, 20, 22, 24, 26, 28, 30, 36",1,0
127,variable,24,,24,1,0,visible,BOX 2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/24.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 26, 30",1,0
128,variable,25,,25,1,0,visible,BOX 2.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/25.jpg,,,,,,,,,0,,thelength,"7.25, 18, 20, 22, 24, 30",1,0
129,variable,26,,26,1,0,visible,LONG BOX 1.6mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/26.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 24",1,0
130,variable,27,,27,1,0,visible,8 SIDED BOX 1.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/27.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
131,variable,28,,28,1,0,visible,BOX 1 BALL 2.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/28.jpg,,,,,,,,,0,,thelength,"7.25, 14, 16, 18, 20",1,0
132,variable,29,,29,1,0,visible,8 SIDED BOX 1.7mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/29.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
133,variable,30,,30,1,0,visible,TWISTED BOX 1.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/30.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20, 22, 24, 30",1,0
134,variable,31,,31,1,0,visible,TWISTED BOX 1.7mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/31.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
135,variable,32,,32,1,0,visible,SINGAPORE 1.9mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/32.jpg,,,,,,,,,0,,thelength,"7, 14, 15, 16, 18, 20, 22, 24",1,0
136,variable,35,,35,1,0,visible,FIGARO FANCY 2.4mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/35.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 30",1,0
137,variable,36,,36,1,0,visible,FIGARO  2.2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/36.jpg,,,,,,,,,0,,thelength,"7.25, 14, 15, 16, 18, 20, 22, 24, 30",1,0
138,variable,37,,37,1,0,visible,TWISTED SERP. 1.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/37.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20, 22, 24, 30",1,0
139,variable,38,,38,1,0,visible,SERPENTINE 1.2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/38.jpg,,,,,,,,,0,,thelength,"16, 18, 20",1,0
140,variable,39,,39,1,0,visible,SERPENTINE 1.4mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/39.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20",1,0
141,variable,40,,40,1,0,visible,TWISTED SERP. 1.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/40.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
142,variable,41,,41,1,0,visible,TWISTED SERP. 1.1mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/41.jpg,,,,,,,,,0,,thelength,"7, 14, 16, 18, 20",1,0
143,variable,43,,43,1,0,visible,OPEN CURB 2.8mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/43.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
144,variable,44,,44,1,0,visible,FIGARO 1.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/44.jpg,,,,,,,,,0,,thelength,"7, 14, 16, 18, 20, 22, 24, 30",1,0
145,variable,45,,45,1,0,visible,ANCHOR FIGARO 2.9mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/45.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20, 22, 24, 30",1,0
146,variable,46,,46,1,0,visible,TWSTD FOX 1.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/46.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20, 22, 24, 30",1,0
147,variable,47,,47,1,0,visible,FIGARO 1.8mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/47.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20, 22, 24, 30",1,0
148,variable,48,,48,1,0,visible,TWISTED FOXTAIL 1.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/48.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 24, 30",1,0
149,variable,49,,49,1,0,visible,LONG BOX 2.7mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/49.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20",1,0
150,variable,50,,50,1,0,visible,TWISTED BOX 1.9mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/50.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
151,variable,52,,52,1,0,visible,SINGAPORE 2.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/52.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 26, 28, 30, 36",1,0
152,variable,53,,53,1,0,visible,SINGAPORE 3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/53.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 26, 30",1,0
153,variable,54,,54,1,0,visible,SINGAPORE 3.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/54.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
155,variable,56,,56,1,0,visible,SINGAPORE  4.7mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/56.jpg,,,,,,,,,0,,thelength,"7.25, 18, 20",1,0
156,variable,57,,57,1,0,visible,SINGAPORE 2.1mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/57.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20, 22, 24, 30",1,0
157,variable,58,,58,1,0,visible,3 BALL TUBE 1.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/58.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 24, 30",1,0
158,variable,60,,60,1,0,visible,BALL CHAIN 1.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,thelength,"14, 16, 18, 20",1,0
159,variable,61,,61,1,0,visible,BALL 1.6mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,thelength,"7, 16, 18, 20, 24, 30",1,0
160,variable,62,,62,1,0,visible,FACETED BALL 1.6mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,thelength,"7.25, 16, 18, 20",1,0
161,variable,63,,63,1,0,visible,TWISTED CURB 1.7mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/63.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20",1,0
162,variable,64,,64,1,0,visible,TWISTED FOXTAIL 2.2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/64.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20",1,0
163,variable,65,,65,1,0,visible,BALL 2.1mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 24, 30",1,0
164,variable,66,,66,1,0,visible,BALL 2.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 24, 30",1,0
165,variable,68,,68,1,0,visible,BALL 4.9mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,thelength,"7.25, 18, 20, 24",1,0
166,variable,69,,69,1,0,visible,OVAL BALL 1.8mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,thelength,"7.25, 16, 18, 20",1,0
167,variable,70,,70,1,0,visible,OVAL BALL 3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,thelength,"7.25, 16, 18, 20",1,0
168,variable,71,,71,1,0,visible,SQUARED FOXTAIL 1.7mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/71.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
169,variable,72,,72,1,0,visible,BALL 2.9mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 24, 30",1,0
170,variable,73,,73,1,0,visible,HEART BRACELET P29,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/73.jpg,,,,,,,,,0,,thelength,7.25,1,0
171,variable,74,,74,1,0,visible,HEART DANGLE BRACELET,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/74.jpg,,,,,,,,,0,,thelength,7.25,1,0
172,variable,76,,76,1,0,visible,STAR & MOON DANGLE BR,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/76.jpg,,,,,,,,,0,,thelength,7.25,1,0
174,variable,78,,78,1,0,visible,MUSIC DANGLE BRACELET,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/78.jpg,,,,,,,,,0,,thelength,7.25,1,0
175,variable,79,,79,1,0,visible,CROSS DANGLE BRACELET,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/79.jpg,,,,,,,,,0,,thelength,7.25,1,0
177,variable,81,,81,1,0,visible,FIGARO 2.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/81.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
178,variable,82,,82,1,0,visible,FACETED BALL 2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 24, 30",1,0
180,variable,84,,84,1,0,visible,FACETED BALL 2.6mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,,,,,,,,,,0,,thelength,"7.25, 16, 18, 20",1,0
181,variable,85,,85,1,0,visible,CIRCLE LINK  3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/85.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 24",1,0
182,variable,86,,86,1,0,visible,TWIST SERP HEAVY 2.6mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/86.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20",1,0
183,variable,87,,87,1,0,visible,FIGARO 9.mm ADJUSTABLE DOWN,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/87.jpg,,,,,,,,,0,,thelength,"9, 18, 20, 22, 24, 30",1,0
184,variable,88,,88,1,0,visible,HEAVY SERPENTINE 2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/88.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20",1,0
185,variable,89,,89,1,0,visible,DOLPHIN SMALL BRACELET,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/89.jpg,,,,,,,,,0,,thelength,7.25,1,0
186,variable,91,,91,1,0,visible,DOLPHIN BRACELET,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/91.jpg,,,,,,,,,0,,thelength,7.25,1,0
187,variable,93,,93,1,0,visible,TUBE LINK BRACELET P30,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/93.jpg,,,,,,,,,0,,thelength,7.25,1,0
188,variable,95,,95,1,0,visible,CIRCLE LINK 1mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/95.jpg,,,,,,,,,0,,thelength,"16, 18, 20",1,0
189,variable,97,,97,1,0,visible,ROLO OVAL 2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/97.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20",1,0
190,variable,98,,98,1,0,visible,ROLO OVAL 2.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/98.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20, 24, 30",1,0
191,variable,99,,99,1,0,visible,BEATEN LINK BRACELET,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/99.jpg,,,,,,,,,0,,thelength,7.25,1,0
192,variable,100,,100,1,0,visible,WHEAT CHAIN 1.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/100.jpg,,,,,,,,,0,,thelength,"7.25, 9, 14, 16, 18, 20, 22, 24, 26, 30",1,0
193,variable,101,,101,1,0,visible,WHEAT CHAIN 1.9mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/101.jpg,,,,,,,,,0,,thelength,"7.25, 9, 16, 18, 20, 22, 24, 30",1,0
194,variable,102,,102,1,0,visible,WHEAT CHAIN 2.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/102.jpg,,,,,,,,,0,,thelength,"7.25, 9, 18, 20, 22, 24",1,0
195,variable,103,,103,1,0,visible,WHEAT CHAIN 3.5MM,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/103.jpg,,,,,,,,,0,,thelength,"7, 8.5, 18, 20, 22, 24",1,0
196,variable,105,,105,1,0,visible,ANCHOR FIGARO 5.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/105.jpg,,,,,,,,,0,,thelength,"8, 16, 18, 20, 22, 24, 30",1,0
197,variable,106,,106,1,0,visible,ANCHOR FIGARO 6mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/106.jpg,,,,,,,,,0,,thelength,"8.5, 18, 20, 22, 24",1,0
198,variable,107,,107,1,0,visible,ANCHOR  FIGARO 10mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/107.jpg,,,,,,,,,0,,thelength,"8.5, 18, 20, 22, 24",1,0
199,variable,108,,108,1,0,visible,ANCHOR FIGARO 2.4mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/108.jpg,,,,,,,,,0,,thelength,"7, 16, 18, 20, 22, 24, 30",1,0
200,variable,109,,109,1,0,visible,OMEGA 1.1 mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/109.jpg,,,,,,,,,0,,thelength,"16, 18",1,0
201,variable,110,,110,1,0,visible,OMEGA 1.7 mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/110.jpg,,,,,,,,,0,,thelength,"16, 18",1,0
202,variable,111,,111,1,0,visible,OMEGA 2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/111.jpg,,,,,,,,,0,,thelength,"16, 18",1,0
203,variable,112,,112,1,0,visible,ANCHOR FIGARO 3.2mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/112.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
205,variable,114,,114,1,0,visible,ULTRA FLEX HB 3.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/114.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
206,variable,115,,115,1,0,visible,ULTRA FLEX HB 4.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/115.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 24, 30",1,0
207,variable,116,,116,1,0,visible,ANCHOR FIGARO 4mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/116.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20, 22, 24, 30",1,0
208,variable,117,,117,1,0,visible,ULTRA FLEX HB 5.5mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/117.jpg,,,,,,,,,0,,thelength,"7.25, 18, 20",1,0
209,variable,118,,118,1,0,visible,ULTRA FLEX HB 7mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/118.jpg,,,,,,,,,0,,thelength,"7.25, 18, 20",1,0
210,variable,120,,120,1,0,visible,SPARKLE 2.3mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/120.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20",1,0
211,variable,121,,121,1,0,visible,SPARKLE 2.9mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/121.jpg,,,,,,,,,0,,thelength,"7.25, 16, 18, 20",1,0
212,variable,122,,122,1,0,visible,ANCHOR FIGARO 4.6mm,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/122.jpg,,,,,,,,,0,,thelength,"7.5, 16, 18, 20, 22, 24, 30",1,0
213,variable,125,,125,1,0,visible,DOUBLE CIRCLE BRACELET,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/125.jpg,,,,,,,,,0,,thelength,7.25,1,0
214,variable,126,,126,1,0,visible,ID CURB BR.ADJ. FR. CLASP,,,,taxable,,1,,,0,0,,,,,1,,,,,,,https://rousseauchain.com/wp-content/uploads/product_images/126.jpg,,,,,,,,,0,,thelength,9,1,0
